1.359: [Full GC 12891K->7581K(4020224K), 0.0200226 secs]
1.396: [GC 28563K->8605K(4020224K), 0.0097048 secs]
1.406: [Full GC 8605K->3426K(4020224K), 0.0220784 secs]
1.431: [GC 24408K->8887K(4020224K), 0.0014757 secs]
1.433: [Full GC 8887K->8837K(4020224K), 0.0213706 secs]
1.463: [GC 29819K->9125K(4020224K), 0.0006226 secs]
1.463: [Full GC 9125K->3965K(4020224K), 0.0167254 secs]
1.499: [GC 24947K->9490K(4020224K), 0.0108304 secs]
1.510: [Full GC 9490K->7688K(4020224K), 0.0210749 secs]
1.536: [GC 28670K->7976K(4020224K), 0.0006067 secs]
1.536: [Full GC 7976K->2804K(4020224K), 0.0206862 secs]
1.561: [GC 23786K->13227K(4020224K), 0.0015500 secs]
1.562: [Full GC 13227K->7536K(4020224K), 0.0125127 secs]
1.576: [GC 28518K->7696K(4020224K), 0.0004881 secs]
1.577: [Full GC 7696K->7637K(4020224K), 0.0202876 secs]
1.602: [GC 28619K->12885K(4020224K), 0.0013474 secs]
1.604: [Full GC 12885K->7506K(4020224K), 0.0127945 secs]
1.618: [GC 28488K->7570K(4020224K), 0.0004641 secs]
1.618: [Full GC 7570K->2438K(4020224K), 0.0122477 secs]
1.635: [GC 23420K->12832K(4020224K), 0.0014779 secs]
1.636: [Full GC 12832K->7523K(4020224K), 0.0155036 secs]
1.653: [GC 28505K->7651K(4020224K), 0.0005344 secs]
1.653: [Full GC 7651K->7609K(4020224K), 0.0139086 secs]
1.672: [GC 28591K->18297K(4020224K), 0.0051491 secs]
1.678: [Full GC 18297K->7868K(4020224K), 0.0295765 secs]
1.716: [GC 28850K->8572K(4020224K), 0.0009392 secs]
1.717: [Full GC 8572K->8498K(4020224K), 0.0410289 secs]
1.773: [GC 29480K->18947K(4020224K), 0.0017451 secs]
1.775: [Full GC 18947K->7644K(4020224K), 0.0253954 secs]
1.802: [GC 28626K->7868K(4020224K), 0.0005921 secs]
1.803: [Full GC 7868K->7826K(4020224K), 0.0236050 secs]
1.839: [GC 28808K->18309K(4020224K), 0.0107919 secs]
1.850: [Full GC 18309K->7778K(4020224K), 0.0239415 secs]
1.882: [GC 28760K->8834K(4020224K), 0.0109547 secs]
1.893: [Full GC 8834K->8802K(4020224K), 0.0216670 secs]
1.936: [GC 29784K->19232K(4020224K), 0.0016901 secs]
1.937: [Full GC 19232K->7859K(4020224K), 0.0145840 secs]
1.953: [GC 28841K->7955K(4020224K), 0.0005378 secs]
1.954: [Full GC 7955K->7898K(4020224K), 0.0171287 secs]
1.975: [GC 28880K->18297K(4020224K), 0.0020076 secs]
1.977: [Full GC 18297K->7855K(4020224K), 0.0109118 secs]
1.989: [GC 28837K->7919K(4020224K), 0.0004806 secs]
1.989: [Full GC 7919K->7904K(4020224K), 0.0120268 secs]
2.005: [GC 28885K->18302K(4020224K), 0.0081493 secs]
2.013: [Full GC 18302K->7859K(4020224K), 0.0109311 secs]
2.025: [GC 28841K->8019K(4020224K), 0.0005111 secs]
2.025: [Full GC 8019K->7952K(4020224K), 0.0121756 secs]
2.043: [GC 49916K->18350K(4020224K), 0.0017945 secs]
2.045: [Full GC 18350K->7872K(4020224K), 0.0215623 secs]
2.067: [GC 28854K->7936K(4020224K), 0.0004635 secs]
2.067: [Full GC 7936K->7924K(4020224K), 0.0129380 secs]
2.084: [GC 49888K->18292K(4020224K), 0.0098129 secs]
2.094: [Full GC 18292K->7864K(4020224K), 0.0123431 secs]
2.107: [GC 28846K->7928K(4020224K), 0.0004685 secs]
2.108: [Full GC 7928K->7889K(4020224K), 0.0128057 secs]
2.124: [GC 28871K->13105K(4020224K), 0.0015223 secs]
2.126: [Full GC 13105K->7859K(4020224K), 0.0116854 secs]
2.139: [GC 28841K->7923K(4020224K), 0.0004983 secs]
2.139: [Full GC 7923K->2771K(4020224K), 0.0147775 secs]
2.158: [GC 23753K->13107K(4020224K), 0.0029315 secs]
2.161: [Full GC 13107K->7872K(4020224K), 0.0176177 secs]
2.184: [GC 28854K->8064K(4020224K), 0.0010476 secs]
2.185: [Full GC 8064K->7983K(4020224K), 0.0132748 secs]
